at,timestamp,hr,rr,act
2016-08-05 19:34,1470418475,51,25.5,58
2016-08-05 19:34,1470418477,51,25.5,52
2016-08-05 19:34,1470418479,51,25.5,27
2016-08-05 19:34,1470418481,51,25.5,72
2016-08-05 19:34,1470418483,52,25.5,51
2016-08-05 19:34,1470418485,52,25.5,46
2016-08-05 19:34,1470418487,52,25.5,65
2016-08-05 19:34,1470418489,51,25.5,34
2016-08-05 19:34,1470418491,51,25.5,61
2016-08-05 19:34,1470418493,52,25.5,55
2016-08-05 19:34,1470418495,51,25.3,210
2016-08-05 19:34,1470418497,51,25,114
2016-08-05 19:34,1470418499,50,24.8,61
2016-08-05 19:35,1470418501,49,25,56
2016-08-05 19:35,1470418503,49,25,141
2016-08-05 19:35,1470418505,52,25,107
2016-08-05 19:35,1470418507,61,25,70
2016-08-05 19:35,1470418509,76,25.2,70
2016-08-05 19:35,1470418511,86,25.1,71
2016-08-05 19:35,1470418513,86,25,61
2016-08-05 19:35,1470418515,86,24.8,49
2016-08-05 19:35,1470418517,86,24.7,55
2016-08-05 19:35,1470418519,85,24.5,60
2016-08-05 19:35,1470418521,85,24.3,105
2016-08-05 19:35,1470418523,84,24.2,334
2016-08-05 19:35,1470418525,83,24.2,243
2016-08-05 19:35,1470418527,83,24.1,467
2016-08-05 19:35,1470418529,83,24.1,194
2016-08-05 19:35,1470418531,83,24.1,63
2016-08-05 19:35,1470418533,83,24.1,88
2016-08-05 19:35,1470418535,83,24.1,107
2016-08-05 19:35,1470418537,83,24.1,74
2016-08-05 19:35,1470418539,83,24.1,263
2016-08-05 19:35,1470418541,83,24.1,512
2016-08-05 19:35,1470418543,83,24.1,1147
2016-08-05 19:35,1470418545,83,24.1,382
2016-08-05 19:35,1470418547,83,24.1,343
2016-08-05 19:35,1470418549,83,24.1,525
2016-08-05 19:35,1470418551,83,24.1,949
2016-08-05 19:35,1470418553,83,24.1,435
2016-08-05 19:35,1470418555,83,24.1,140
2016-08-05 19:35,1470418557,83,24.1,85
2016-08-05 19:35,1470418559,83,24.1,45
2016-08-05 19:36,1470418561,83,24.1,94
2016-08-05 19:36,1470418563,83,24.1,30
2016-08-05 19:36,1470418565,83,24.1,78
2016-08-05 19:36,1470418567,83,24.1,64
2016-08-05 19:36,1470418569,82,24.1,66
2016-08-05 19:36,1470418571,80,24.1,67
2016-08-05 19:36,1470418573,77,24.1,56
2016-08-05 19:36,1470418575,74,24.1,60
2016-08-05 19:36,1470418577,73,24.1,73
2016-08-05 19:36,1470418579,77,24.1,68
2016-08-05 19:36,1470418581,76,24,40
2016-08-05 19:36,1470418583,76,24,69
2016-08-05 19:36,1470418585,77,24.1,61
2016-08-05 19:36,1470418587,79,24.2,51
2016-08-05 19:36,1470418589,79,24.2,61
2016-08-05 19:36,1470418591,79,24.2,38
2016-08-05 19:36,1470418593,80,24.2,55
2016-08-05 19:36,1470418595,80,24.3,48
2016-08-05 19:36,1470418597,80,24.7,53
2016-08-05 19:36,1470418599,80,25,64
2016-08-05 19:36,1470418601,80,25.2,40
2016-08-05 19:36,1470418603,80,25.3,68
2016-08-05 19:36,1470418605,80,25.5,77
2016-08-05 19:36,1470418607,79,25.2,41
2016-08-05 19:36,1470418609,79,25.2,76
2016-08-05 19:36,1470418611,79,25.2,72
2016-08-05 19:36,1470418613,79,25.1,69
2016-08-05 19:36,1470418615,79,24.7,44
2016-08-05 19:36,1470418617,79,24.7,60
2016-08-05 19:36,1470418619,79,24.1,69
2016-08-05 19:37,1470418621,78,23.2,62
2016-08-05 19:37,1470418623,78,22.7,46
2016-08-05 19:37,1470418625,78,22.1,59
2016-08-05 19:37,1470418627,79,21.6,64
